Name,Profession,Experience,Satisfaction,Waiting Time,Education,Fee,Location,To book appointments visit
Ms. S. Qurat Ul Ain Naqvi,"Psychologist, Counselor",11 Years,95%,Not Available,"M.Sc (Psychology), ADCP (Advanced Diploma in Clinical Psychology)","Rs. 1,200",Online Video Consultation (Online),https://oladoc.com/pakistan/lahore/dr/psychologist/s-qurat-ul-ain-naqvi/1471798
Ms. Ramsha Waleed,"Psychologist, Counselor",5 Years,100%,Under 15 Min,"B.S. Psychology, Advanced Diploma in Cognitive Behavioural Therapy, Diploma in Health Science, Certificate in Pharmacotherapy","Rs. 1,200",Online Video Consultation (Online),https://oladoc.com/pakistan/faisalabad/dr/psychologist/ramsha-waleed/1761023
Ms. Momna Rizwan,"Psychologist, Counselor",7 Years,98%,Under 15 Min,M.S. Clinical Psychology,"Rs. 1,200",Online Video Consultation (Online),https://oladoc.com/pakistan/faisalabad/dr/psychologist/momna-rizwan/1200571
Ms. Seerat Fatima,"Psychologist, Counselor",8 Years,100%,Under 15 Min,"Ph.D (Psychology), M.P.H., Advance Diploma In Clinical Psychology (ADCP), M.S. Applied Psychology","Rs. 1,500",Online Video Consultation (Online),https://oladoc.com/pakistan/rawalpindi/dr/psychologist/seerat-fatima/607002
Ms. Mishal Malik,"Psychologist, Counselor",7 Years,98%,Under 15 Min,"MSc (Psychology), ADCP","Rs. 1,400",Online Video Consultation (Online),https://oladoc.com/pakistan/video-consultation/dr/psychologist/mishal-malik/259278
Ms. Sobia Khateeb,Psychologist,10 Years,100%,Not Available,"MS (Applied Psychology), MS (Clinical Psychology), Master in Science & Public Health","Rs. 5,000","Online Video Consultation (Online), Imranz Clinic (I-8 Markaz), Murtaza Medical Complex (Bahria Town)",https://oladoc.com/pakistan/rawalpindi/dr/psychologist/sobia-khateeb/3175420
Dr. Imtiaz Bukhari,Psychologist,33 Years,96%,Under 15 Min,"M.Sc. (Psychology), PhD Psychology","Rs. 3,000",Islamabad Medicure Hospital (E-11),https://oladoc.com/pakistan/islamabad/dr/psychologist/imtiaz-bukhari/277570
Ms. Natasha Shaukat,"Psychologist, Nutritionist, Counselor",24 Years,100%,15 - 30 Min,"MPhil (Psychology), PGD Clinical Psychology, PGD Human Diet and Nutrition","Rs. 5,000",Neurocounsel (Blue Area),https://oladoc.com/pakistan/islamabad/dr/psychologist/natasha-shaukat-psy/2609380
Mr. Muhammad Umar Fayyaz,"Psychologist, Pediatric Psychologist",8 Years,89%,30 - 45 Min,"MS (Clinical Psychology), BS (Clinical Psychology)- Centre for Clinical Psychology","Rs. 3,000","Online Video Consultation (Online), Mindhealing Psychotherapy (Naval Anchorage)",https://oladoc.com/pakistan/islamabad/dr/psychologist/muhammad-umar-fayyaz/2976369
Ms. Ayesha Umer,Psychologist,7 Years,94%,15 - 30 Min,MS (Clinical Psychology),"Rs. 2,200","Online Video Consultation (Online), Clinics and Diagnostics Hospital (G-13)",https://oladoc.com/pakistan/islamabad/dr/psychologist/ayesha-umer/516271
